Year;Temperature
1901;26.81728925
1902;26.9859813333333
1903;27.1946263333333
1904;27.2035829166667
1905;26.84197825
1906;27.3613709166667
1907;27.222663
1908;27.1857476666667
1909;27.0753118333333
1910;27.3881623333333
1911;26.9345794166667
1912;27.3013239166667
1913;27.4174456666667
1914;27.482087
1915;26.8051403333333
1916;26.5365264166667
1917;26.6676015
1918;26.5543618333333
1919;27.1904208333333
1920;27.2042834166667
1921;27.1940028333333
1922;26.9328659166667
1923;26.7774146666667
1924;26.974377
1925;26.6064644166667
1926;27.4333331666667
1927;26.7098905
1928;26.4035045833333
1929;26.585514
1930;27.2436139166667
1931;27.5665105833333
1932;27.76253875
1933;27.6065424166667
1934;27.4485980833333
1935;27.15140175
1936;27.02406525
1937;28.0313085
1938;28.31308425
1939;27.91004675
1940;27.2134734166667
1941;27.9984421666667
1942;27.622741
1943;27.1676794166667
1944;27.5687689166667
1945;27.3394078333333
1946;27.074221
1947;27.4409655
1948;27.0247659166667
1949;27.5332555833333
1950;27.0032711666667
1951;27.2359029166667
1952;27.0584116666667
1953;27.0003895833333
1954;26.76884725
1955;26.6744548333333
1956;26.7000004166667
1957;26.8377729166667
1958;27.0685360833333
1959;27.1810746666667
1960;26.99073175
1961;26.8734426666667
1962;26.85529575
1963;27.2363701666667
1964;26.7908878333333
1965;26.94423675
1966;27.307866
1967;26.9535051666667
1968;27.20467275
1969;27.4199378333333
1970;27.30996875
1971;26.5774924166667
1972;26.8905768333333
1973;27.3732865
1974;26.7341895833333
1975;26.6464954166667
1976;26.4816980833333
1977;27.1574765833333
1978;26.78676025
1979;27.1193150833333
1980;26.9475856666667
1981;27.37780375
1982;27.1541278333333
1983;27.6383176666667
1984;27.5330211666667
1985;27.4027260833333
1986;27.31105925
1987;28.1521030833333
1988;27.7404986666667
1989;27.4680688333333
1990;27.6864486666667
1991;27.3186918333333
1992;27.1180688333333
1993;27.4000780833333
1994;27.3201710833333
1995;27.6126164166667
1996;27.4908873333333
1997;27.500311
1998;28.0438475833333
1999;27.4254671666667
2000;27.5376169166667
2001;27.46814625
2002;27.515732
2003;27.6606699166667
2004;27.6571645
2005;27.83971975
2006;27.5762461666667
2007;27.5778034166667
2008;27.3120711666667
2009;27.5988321666667
2010;28.01984875
2011;27.7062878333333
2012;27.4265901666667
